"","text","section","header","div","p","s","id"
"47","https://github.com/dsfsi/Higher_Education_EDA","discussion","Call to Action",14,3,20,"1915468ccac71b2daff25b0de5367c35250a818a981cff3b90c963249e3596fc.grobid.tei"
"48","https://github.com/dsfsi/Higher_Education_EDA","availability","Data Availability Statement:",18,1,1,"1915468ccac71b2daff25b0de5367c35250a818a981cff3b90c963249e3596fc.grobid.tei"
"49","https://github.com/viskillz/viskillz-blender","intro","4.",5,3,1,"1692c5084f057363db0699e92e96e0193e8ec8cbc383a9fa15b1335a9eb4cfb2.grobid.tei"
"50","https://github.com/viskillz/viskillz-blender","availability","Data Availability Statement:",60,1,1,"1692c5084f057363db0699e92e96e0193e8ec8cbc383a9fa15b1335a9eb4cfb2.grobid.tei"
"51","https://github.com/viskillz/viskillz-glb","availability","Data Availability Statement:",60,1,2,"1692c5084f057363db0699e92e96e0193e8ec8cbc383a9fa15b1335a9eb4cfb2.grobid.tei"
"52","https://github.com/oscarkarnalim/SSTRANGE","intro","Introduction",1,6,4,"1c1eb5d76e95536c07338968f6a2b131d14d7104a4e28fa9677de4a518f5dc40.grobid.tei"
"53","https://github.com/oscarkarnalim/SSTRANGE","intro","Our Search for Suitable Similarity Detectors",3,3,5,"1c1eb5d76e95536c07338968f6a2b131d14d7104a4e28fa9677de4a518f5dc40.grobid.tei"
"54","https://github.com/UCL-CREST/ocd/blob/master/soco_f.zip","availability","Data Availability Statement:",32,1,1,"1c1eb5d76e95536c07338968f6a2b131d14d7104a4e28fa9677de4a518f5dc40.grobid.tei"
"55","https://github.com/oscarkarnalim/SSTRANGE","availability","Data Availability Statement:",32,1,2,"1c1eb5d76e95536c07338968f6a2b131d14d7104a4e28fa9677de4a518f5dc40.grobid.tei"
"56","https://github.com/uibgnode/pmc7759466_analytics","availability","",25,1,1,"0496e52f3ab1a147f9112032e5eb25ac711c532a701edc81d432882bfe865b47.grobid.tei"
"57","https://github.com/uibgnode/pmc7759466_analytics","annex","Supplementary Materials:",26,1,1,"0496e52f3ab1a147f9112032e5eb25ac711c532a701edc81d432882bfe865b47.grobid.tei"
"58","https://github.com/elvismelo/paper_school_dropout","method","Considered Dataset",14,2,2,"4b34d9da996d947a3065d67c97df35d213c63491e858d4bad083229df401cd4a.grobid.tei"
"59","https://github.com/Srj/Bdjobs","availability","Data Availability Statement:",42,1,1,"a374dde5636195cdbaa47e655d2a3eab167f0481b6e2f94a3a7464477ecd2f5c.grobid.tei"
"60","https://github.com/laboratorioAI/Covid19_Educational_Impact","availability","Data Availability Statement:",31,1,1,"6b7eaa0048a32c82d837901be6cdef3c569bbd8e125e0adf5e33d590bfd74ca3.grobid.tei"
"61","https://github.com/CompPrehension/CompPrehension","availability","Data Availability Statement:",51,1,1,"7a92028e6b5701ef7fad4cfaf863eec2d2e603e08147fe56494a08daef0dfff9.grobid.tei"
"62","https://github.com/LAD96/COVID19-Education","availability","",43,1,1,"f46b083777e962c8a3ae84715954c5bcddc5a57100ed3fd267085bf476c148f3.grobid.tei"
"63","https://github.com/nbojcetic/StudCADWorkEvalApp","availability","Data Availability Statement:",34,1,1,"b6f9344bcba7d6143ca16226119933c4c1acc3848e9e16698ca7845932027a55.grobid.tei"
"64","https://github.com/nbojcetic/StudCADWorkEvalApp","availability","Data Availability Statement:",34,2,1,"b6f9344bcba7d6143ca16226119933c4c1acc3848e9e16698ca7845932027a55.grobid.tei"
"65",".com/mannyrayner","fig","2. 9 .",3,1,3,"e74440d7f954400776412336f8d5fe90c3150849667be327ddecccb1f68cd86c.grobid.tei"
"66","mining/machine","intro","Learning Analytics for Students' Performance Evaluation",4,3,2,"b05baebd93310c801a458f099cb165471498a8ee10172292413f24e0aa018f2e.grobid.tei"
"67","github.com/e-ucm","intro","Tools and Statistics",25,3,1,"d3a1912f319f8cb51c9470b413b338f5600fbb89ae73f2414d3a5362340f4eea.grobid.tei"
"68","units/course","discussion","Discussion",36,11,1,"27943bfbb5f469a062f72d1f76ab2c0012c1a16b10158aa07752c9448806e7ce.grobid.tei"
"69","unit/course","discussion","Discussion",36,12,1,"27943bfbb5f469a062f72d1f76ab2c0012c1a16b10158aa07752c9448806e7ce.grobid.tei"
"70","unit/course","discussion","Conclusions",42,4,2,"27943bfbb5f469a062f72d1f76ab2c0012c1a16b10158aa07752c9448806e7ce.grobid.tei"
"71","work-events/tickets","results","CRDF",21,1,1,"59e5e116b06abf87ceff061bcf114108ab818fb6ca97b6cfc3c2830ecdba2e27.grobid.tei"
"72","work-events/tickets","results","CRDF",21,4,3,"59e5e116b06abf87ceff061bcf114108ab818fb6ca97b6cfc3c2830ecdba2e27.grobid.tei"
"73","github.com/simphony","intro","Software Infrastructure",4,1,2,"fcd3b0b6b16821281c08134f587dc6a647a68f37190799cbcc36f17198204ee4.grobid.tei"
"74","github.com/libvnc","intro","1.",6,1,7,"fcd3b0b6b16821281c08134f587dc6a647a68f37190799cbcc36f17198204ee4.grobid.tei"
"75","github.com/novnc","intro","1.",6,1,10,"fcd3b0b6b16821281c08134f587dc6a647a68f37190799cbcc36f17198204ee4.grobid.tei"
"76","tiny.cc/wtyd8y","results","The Main Interface of MAthE the Game",4,5,9,"130071dc21f21acd85262daa5b07d601ed3dd8fd1d9ca84e664f458a8e6a9cc9.grobid.tei"
"77","tiny.cc/wtyd8y","results","0.8954 PM13",6,7,9,"130071dc21f21acd85262daa5b07d601ed3dd8fd1d9ca84e664f458a8e6a9cc9.grobid.tei"
